X,Y,U,V
202,532,-0.36811063,6.4464846
242,532,-6.5924997,0.21916507
267,532,-12.0,0.29577154
272,532,-12.0,0.45918527
277,532,-8.810266,3.6895125
17,537,-7.0962863,4.695224
37,537,-7.1833386,2.786522
42,537,-7.3643584,3.672472
47,537,6.478698,-0.3154661
57,537,-8.172815,2.0309033
62,537,-8.204779,2.930457
67,537,-8.249685,2.5167294
72,537,-8.061308,0.8503766
87,537,-6.8775935,1.173612
92,537,-7.0975637,0.5952552
97,537,-6.8338814,0.3588082
102,537,-7.7840433,0.39627185
122,537,-8.655087,2.2041404
127,537,-10.102617,1.9022355
132,537,-9.234422,1.8855982
137,537,9.99629,0.1338485
192,537,-7.599887,0.6117871
197,537,-6.9920354,1.4553956
267,537,7.947199,-0.04949564
272,537,-12.0,0.26963606
277,537,-10.326781,1.4783529
17,542,-6.608865,5.3515515
22,542,-7.099749,5.7346764
62,542,-8.165844,2.4227853
67,542,-8.363096,3.4521003
72,542,-7.982989,2.496536
77,542,-5.9234014,2.210701
82,542,-6.2121105,0.30729407
87,542,-6.780168,0.41247386
92,542,-7.0113688,0.33590764
97,542,-7.2253623,0.31499258
102,542,-7.667075,0.58415383
122,542,11.0,1.2214208
127,542,-9.720532,2.5096998
132,542,-9.177319,2.2170205
137,542,-6.105459,2.2755482
142,542,-6.652774,0.7790766
192,542,-7.093088,1.1569283
197,542,-9.622164,0.11215718
202,542,-7.513282,-0.06441445
267,542,8.952417,-0.25280628
272,542,9.110677,-0.4675872
282,542,-10.49706,1.6768659
287,542,-11.278487,1.5943475
12,547,0.19304475,7.271011
17,547,-6.4380956,4.628218
27,547,-5.3024397,3.6206806
37,547,-6.8652864,3.5461185
42,547,-7.17962,3.7319832
67,547,2.846678,7.7637987
72,547,-7.7354,2.07289
97,547,-6.716444,0.3927249
127,547,-9.576682,2.0245335
132,547,-8.90879,1.7781365
137,547,-7.2213235,1.9804252
142,547,-7.529792,0.79168993
202,547,-12.0,-0.9843105
237,547,-7.3604455,0.033245463
267,547,8.06154,-0.17216042
272,547,9.665032,-0.08921486
277,547,6.8952594,-0.3154797
282,547,-11.3405075,0.4156523
287,547,-11.197039,0.2625468
12,552,0.2253682,7.958652
17,552,-6.1236176,3.7507532
37,552,-7.2313676,2.3960946
42,552,-5.0557632,4.192424
97,552,-6.302208,0.16608341
102,552,-6.9438534,1.8270826
107,552,-7.643158,3.0701172
112,552,-7.633947,3.5228782
127,552,-9.914831,0.47474033
132,552,-8.618918,2.00696
137,552,-7.2023063,0.45441896
142,552,-8.810782,0.09795626
182,552,4.9837303,-5.8399663
187,552,4.8836336,-6.26427
217,552,-12.0,0.42022827
222,552,-12.0,0.40422603
227,552,-10.570208,0.2042765
237,552,-7.514351,-0.09366617
242,552,-8.663858,-0.08430528
247,552,-6.7304425,-0.09442682
257,552,-0.24036534,-6.1394987
262,552,-3.0394552,-6.859364
272,552,10.052501,-0.0934507
287,552,10.154969,-6.0974946
12,557,0.1670713,6.1121974
17,557,-6.0375185,4.0328193
37,557,-5.973249,2.5694122
42,557,-5.6329217,3.0804148
62,557,6.900218,4.3301706
112,557,-7.859407,2.5551913
182,557,-11.355149,4.118864
187,557,7.69745,-10.017595
202,557,11.0,8.808206
207,557,11.0,6.329759
212,557,-8.772486,0.07310762
217,557,-12.0,0.31183487
237,557,-7.041854,0.031141575
242,557,-11.132627,-0.0064373645
247,557,-12.0,0.05591619
262,557,-3.2964268,-5.69366
267,557,-6.851927,-2.5483956
272,557,-8.97441,-1.0439382
277,557,7.8030705,-9.995906
282,557,9.993472,-10.367024
287,557,8.746174,-10.309707
17,562,-5.782584,3.7085383
27,562,-5.4602995,3.0444634
32,562,-5.296474,3.2226503
37,562,-5.9808393,2.754426
42,562,-5.809427,2.95002
47,562,-7.224927,-0.20521505
62,562,6.674099,4.1383147
87,562,-6.2116075,-0.14355327
142,562,-6.2878804,0.15063834
182,562,-12.0,3.0692775
187,562,-8.24544,8.208949
192,562,-3.747329,11.0
202,562,11.0,11.0
207,562,11.0,10.240273
212,562,-8.292597,-0.13213846
217,562,-12.0,0.043322206
222,562,-12.0,0.16711952
242,562,-12.0,0.079412185
247,562,-12.0,-0.045567185
252,562,-11.140469,-0.4166153
257,562,-6.0366316,-3.7256627
262,562,-5.18461,-4.403608
267,562,-6.35512,-4.3391776
272,562,-7.218097,-2.6576755
22,567,-5.286145,3.2481003
27,567,-5.8587065,2.6223814
32,567,-6.063665,2.2428195
37,567,-6.7657614,1.6063304
42,567,-6.972511,0.8330615
47,567,-7.0608273,0.1048477
67,567,-6.0917335,2.0953295
77,567,-6.3328695,1.0207331
87,567,-6.7325654,-0.15850447
117,567,-6.8953233,5.6082907
132,567,-0.15905264,-6.3356757
137,567,-6.775081,-0.050914213
142,567,-6.14798,0.042937197
187,567,-9.479854,6.294336
192,567,-10.311299,6.074369
202,567,-0.31371215,-9.23284
207,567,-2.6125455,-9.256977
212,567,-8.253532,-0.18079972
217,567,-12.0,-0.10549367
222,567,9.736052,-0.10121369
242,567,-10.926306,0.071336135
247,567,-12.0,-0.0423742
252,567,-9.866728,-0.19154426
257,567,-11.314296,-0.17202203
262,567,-12.0,-0.073030055
267,567,11.0,0.004623096
272,567,11.0,0.21721984
277,567,9.0321865,5.1723657
282,567,6.9651747,5.0922637
287,567,11.0,3.991474
292,567,7.32265,3.8503652
32,572,-6.3929653,2.0272112
37,572,-7.036481,0.944833
42,572,-6.9193726,1.2285482
